PRODUCT_CODE,ITEM,PRICE,PRICE CHANGE
MMD500W6,Men's MD500v6 Track Spike,20.39,3.603999999999999
MXC5KRB4,Men's XC5Kv4 Track Spike,28.69,5.059999999999999
MW674BK,Men's 674 ,40.79,7.2039999999999935
M3000BK3,Mid-Cut 3000v3 Metal Baseball Cleat,38.75,6.843999999999994
MSD100F2,Men's 100v2 Track Spike ,16.06,2.84
MSD100W2,Men's 100v2 Track Spike ,15.3,2.6999999999999993
FREEZGW,Men's FreezeLX Lacrosse Cleat,33.65,5.9439999999999955
FREEZPB,Men's FreezeLX Lacrosse Cleat,25.24,4.460000000000001
ULAZRLA,Unisex Fresh Foam Lazr Luxe,44.87,7.9239999999999995
USDSGMHG,Unisex Vazee Sigma Harmony Track Spike,38.24,6.753999999999991
USDSGMGB,Unisex Vazee Sigma Track Spike,42.32,7.473999999999997
U520EB,Unisex 520,40.79,7.2039999999999935
NEW,NEW,NEW,NEW
MRL247DF,Men's 247 Decon,19.2
MSX90RCA,Men's X-90 Reconstructed,44.87
REMOVED,REMOVED,REMOVED,REMOVED
ML515RGN,Men's 515,33.594
MCRUZSY2,Men's Fresh Foam Cruz v2 Knit,43.193999999999996
MSX90CRA,Men's X-90,47.99399999999999
NEW,NEW,NEW
T3000BO4,Low-Cut 3000v4 Turf Baseball,40.794
T4040BK4,Low-Cut 4040v4 Turf Baseball Cleat,40.794
T4040WB4,Low-Cut 4040v4 Turf Baseball Cleat,40.794
MCRZDLB2,Men's Fresh Foam Cruz Decon,40.794
M860BH8,Men's 860v8,59.99399999999999
MTSKOMGG,Men's Summit Trail,57.593999999999994
BM3020BK,Men's 3020 Boot,76.794
MS247EB,Men's 247,20.994
REMOVED,REMOVED,REMOVED
M1540SB2,Men's 1540v2,79.194
